age,shopped_on_date,amount_spent_on_last_purchase,no_of_times_shopped_on_2019,relevant_offers_channel,total_amount_spent_in_2019,customer_buy_clothes_from,preferred_purchase_channel,gender,items_interested_to_purchase_by_female,items_interested_to_purchase_by_male
28,2/3/2020,5000,4,stores,15000,Discounts,Online,Male,,"Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
33,1/28/2020,7000,8,TV advertisement,50000,Discounts,Roadside,Male,,"Men Assorted Checked Boxers  Rs 377(MRP :419,Discount:10%), Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
28,1/14/2020,50000,20,Shopping mall and Store outlet,40000,Discounts,"Mall, Factory outlets",Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%)"
27,2/24/2020,4000,4,Retail,40000,Discounts,Online,Male,,
35,2/14/2020,5000,15,"Email, SMS",25000,Discounts,"Mall, Online",Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%)"
32,2/25/2020,1095,30,"Email, SMS",10000,Discounts,"Mall, Online",Male,,"Men Assorted Checked Boxers  Rs 377(MRP :419,Discount:10%), Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
30,2/10/2020,500,2,SMS,1000,Discounts,Online,Male,,
28,2/27/2020,5023,5,TV advertisement,55000,Discounts,Online,Male,,"Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
32,2/14/2020,1500,2,SMS,3000,Discounts,Online,Male,,
30,2/8/2020,1500,15,"Email, SMS",35000,Discounts,"Mall, Factory outlets",Female,"Women White Crepe Blouse, Women Black Solid Pencil Skirt, DOROTHY PERKINS Women Skirt",
28,2/3/2020,2511,2,"SMS, Newspapers",12358,Discounts,"Factory outlets, Online",Female,"Women Blue Regular Fit Mid-Rise Highly DistressedJeans Rs 5995, Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Women White Solid Top with Belt  Rs 2872(MRP :3590,Discount:20 %), Women Pink Solid Off-The-Shoulder Top   Rs 899(MRP :999,Discount:10 %), DOROTHY PERKINS Women Skirt Rs 1554(MRP :2590,Discount:40%)",
23,1/1/2020,236,2,"Instagram, TV advertisement",5000,Discounts,"Mall, Online",Female,"H&M V-neck Blouse (Rs 1599,No Discount), Vero Moda Black Solid Skirt(Rs 1574,55% off), WISSTLER - Women Black & Off-White Open Front Longline Shrug - Rs 599 (55% Off)",
34,2/14/2020,5000,15,"Email, SMS",40000,Discounts,"Mall, Online",Female,"Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Women Navy Blue Regular Fit Solid Formal Shirt Rs 1592(MRP :1990,Discount:20 %), Black Solid Handheld Bag  Rs 5990",
24,12/23/2019,2500,3,"Facebook, Email",5500,New Arrivals,Online,Male,,"Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%)"
28,2/12/2020,1400,20,"Facebook, Instagram, Website",10000,New Arrivals,"Mall, Online",Male,,"Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
31,2/8/2020,2000,4,SMS,8000,New Arrivals,Online,Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%)"
31,2/8/2020,4000,4,SMS,16000,New Arrivals,Mall,Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%)"
24,2/15/2020,8500,20,"Facebook, Instagram",10000,New Arrivals,"Mall, Factory outlets, Online",Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Black Solid Two Fold Genuine Leather Wallet  Rs 1599(MRP :1999,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
27,4/23/1992,2000,50,"Facebook, Instagram, Email, SMS",70000,New Arrivals,"Mall, Factory outlets, Online",Female,"Women Blue Regular Fit Mid-Rise Highly Distressed Jeans, Women Navy Blue Regular Fit Solid Formal Shirt, Women White Solid Top with Belt, Black Solid Handheld Bag, Women Black Solid Pencil Skirt, Women White & Navy Blue Regular Fit Striped Formal Trousers, Women Black Non-wired Lace Push-up Bra",
24,2/19/2020,780,20,Instagram,1000,New Arrivals,Online,Female,"Women Silver-Toned 2-Pack Necklaces  Rs 419(MRP :599,Discount:30 %)",
30,1/31/2020,3500,24,"Facebook, SMS",60000,New Arrivals,"Mall, Online",Female,"Women White Crepe Blouse, Women White & Navy Blue Regular Fit Striped Formal Trousers",
35,1/1/2020,25000,5,shopping mall display,80000,New Arrivals,Mall,Female,"Women Blue Regular Fit Mid-Rise Highly Distressed Jeans, Women White Crepe Blouse, Black Super Push-Up Lace Bra",
28,1/23/2020,5000,10,"Facebook, Instagram, Email, SMS, TV advertisement",20000,New Arrivals,"Mall, Online",Female,"Women Blue Regular Fit Mid-Rise Highly Distressed Jeans, Women White Crepe Blouse, Women Pink Solid Off-The-Shoulder Top",
33,2/2/2020,5000,4,Facebook,5000,New Arrivals,Mall,Female,"Black Super Push-Up Lace Bra  Rs 1349(MRP :1499,Discount:10%), Women Black Non-wired Lace Push-up Bra Rs 1349(MRP :1499,Discount:10%)",
32,2/4/2020,3000,2,Flyers,4500,Clearance Sale,Mall,Male,,"Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %)"
38,2/26/2020,5000,40,Email,200000,Clearance Sale,Online,Male,,"Men Assorted Checked Boxers  Rs 377(MRP :419,Discount:10%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
37,1/25/2020,18000,12,On the shop,150000,"New Arrivals, Discounts",Mall,Male,,"Men Black Solid Two Fold Genuine Leather Wallet, Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans"
30,1/12/2020,1500,3,none,4000,"New Arrivals, Discounts",Mall,Male,,"Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %)"
29,2/14/2020,1900,20,browsing web,40000,"New Arrivals, Discounts","Mall, Factory outlets, Online",Male,,"Men Assorted Checked Boxers  Rs 377(MRP :419,Discount:10%), Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Black Solid Two Fold Genuine Leather Wallet  Rs 1599(MRP :1999,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
35,1/25/2020,7500,10,"Email, SMS, Newspapers",30000,"New Arrivals, Discounts",Mall,Male,,"Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
27,1/23/2020,6000,10,"Instagram, Email",20000,"New Arrivals, Discounts","Mall, Factory outlets, Online",Male,,"Men Black Solid Two Fold Genuine Leather Wallet  Rs 1599(MRP :1999,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
31,12/12/2019,10000,10,"Facebook, Instagram, Email, SMS, TV advertisement, Website",60000,"New Arrivals, Discounts","Mall, Factory outlets, Online",Male,,"Men Assorted Checked Boxers  Rs 377(MRP :419,Discount:10%), Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
30,2/12/1990,3500,5,"Facebook, Instagram",12500,"New Arrivals, Discounts","Factory outlets, Online, Roadside",Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%)"
23,2/10/2020,15000,15,"Instagram, Email, TV advertisement",50000,"New Arrivals, Discounts","Factory outlets, Online, Roadside",Female,"Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Women White Crepe Blouse  Rs 1799(MRP :1999,Discount:10 %), Women White Solid Top with Belt  Rs 2872(MRP :3590,Discount:20 %), Women Silver-Toned 2-Pack Necklaces  Rs 419(MRP :599,Discount:30 %), Women White & Navy Blue Regular Fit Striped Formal Trousers   Rs 2513(MRP :3590,Discount:30%), Women Black Non-wired Lace Push-up Bra Rs 1349(MRP :1499,Discount:10%), DOROTHY PERKINS Women Skirt Rs 1554(MRP :2590,Discount:40%)",
24,2/9/2020,2000,5,TV advertisement,5000,"New Arrivals, Discounts","Mall, Roadside",Female,"Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Women Navy Blue Regular Fit Solid Formal Shirt Rs 1592(MRP :1990,Discount:20 %), Women White Solid Top with Belt  Rs 2872(MRP :3590,Discount:20 %), Women Silver-Toned 2-Pack Necklaces  Rs 419(MRP :599,Discount:30 %), Women White & Navy Blue Regular Fit Striped Formal Trousers   Rs 2513(MRP :3590,Discount:30%), Black Super Push-Up Lace Bra  Rs 1349(MRP :1499,Discount:10%), MANGO Women Trousers Rs 2793 (MRP :3990,Discount:10%)",
27,1/20/2020,8000,50,Instagram,40000,"New Arrivals, Discounts","Mall, Online",Female,"Women Blue Regular Fit Mid-Rise Highly DistressedJeans Rs 5995, Women Pink Solid Off-The-Shoulder Top   Rs 899(MRP :999,Discount:10 %), Black Solid Handheld Bag  Rs 5990, Women Black Non-wired Lace Push-up Bra Rs 1349(MRP :1499,Discount:10%), MANGO Women Trousers Rs 2793 (MRP :3990,Discount:10%)",
25,2/25/2020,2800,6,"Facebook, Instagram, Email",4000,"New Arrivals, Discounts","Mall, Online",Female,"Women White Crepe Blouse  Rs 1799(MRP :1999,Discount:10 %), Women Pink Solid Off-The-Shoulder Top   Rs 899(MRP :999,Discount:10 %), Women White & Navy Blue Regular Fit Striped Formal Trousers   Rs 2513(MRP :3590,Discount:30%), Women Black Non-wired Lace Push-up Bra Rs 1349(MRP :1499,Discount:10%)",
29,10/16/2019,255,3,"Facebook, Email, SMS",1241,"New Arrivals, Discounts","Online, Roadside",Female,"Women Blue Regular Fit Mid-Rise Highly DistressedJeans Rs 5995, Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Women Pink Solid Off-The-Shoulder Top   Rs 899(MRP :999,Discount:10 %), Black Super Push-Up Lace Bra  Rs 1349(MRP :1499,Discount:10%)",
26,2/11/2020,3000,8,"Facebook, Instagram, Email",6000,"New Arrivals, Discounts","Mall, Online",Female,"Women White Solid Top with Belt  Rs 2872(MRP :3590,Discount:20 %)",
26,1/16/2020,20000,30,"Facebook, Instagram, Email, SMS, Newspapers, TV advertisement",50000,"New Arrivals, Discounts","Mall, Factory outlets, Online",Female,"Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans, Women Navy Blue Regular Fit Solid Formal Shirt, Women Pink Solid Off-The-Shoulder Top, Black Solid Handheld Bag, Women Silver-Toned 2-Pack Necklaces, Women White & Navy Blue Regular Fit Striped Formal Trousers, Black Super Push-Up Lace Bra, Women Black Non-wired Lace Push-up Bra, DOROTHY PERKINS Women Skirt",
34,11/12/1986,7500,10,"Facebook, Instagram",25600,"New Arrivals, Discounts","Mall, Online",Female,"Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Black Solid Handheld Bag  Rs 5990",
25,8/1/2020,2600,50,"Facebook, SMS",50000,"New Arrivals, Discounts","Mall, Online",Female,"Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans, Women Pink Solid Off-The-Shoulder Top, Black Solid Handheld Bag, Black Super Push-Up Lace Bra",
32,2/1/2020,15000,40,"Email, SMS",65000,"New Arrivals, Discounts","Mall, Online",Female,"Women Pink Solid Off-The-Shoulder Top, Black Solid Handheld Bag, Women Silver-Toned 2-Pack Necklaces, Women Black Solid Pencil Skirt, Women Black Non-wired Lace Push-up Bra, DOROTHY PERKINS Women Skirt",
34,2/2/2020,1000,10,"Facebook, Instagram",5000,"New Arrivals, Discounts","Online, Roadside",Female,"Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Women White Crepe Blouse  Rs 1799(MRP :1999,Discount:10 %), Women White Solid Top with Belt  Rs 2872(MRP :3590,Discount:20 %), Women Black Solid Pencil Skirt  Rs 2600(MRP :4000,Discount:35 %), Women White & Navy Blue Regular Fit Striped Formal Trousers   Rs 2513(MRP :3590,Discount:30%), Black Super Push-Up Lace Bra  Rs 1349(MRP :1499,Discount:10%), DOROTHY PERKINS Women Skirt Rs 1554(MRP :2590,Discount:40%)",
28,2/3/2020,121,2,"Facebook, Instagram",18000,"Launch, Initial discount","Factory outlets, Online",Female,"Myntra DressBerry - Women Blue Solid Pinafore Dress (Rs 989, 40% off), H&M V-neck Blouse (Rs 1599,No Discount)",
31,2/11/2020,1455,12,"Email, Newspapers",2400,"Launch, Initial discount","Online, Roadside",Female,"Myntra DressBerry - Women Blue Solid Pinafore Dress (Rs 989, 40% off), H&M V-neck Blouse (Rs 1599,No Discount), WISSTLER - Women Black & Off-White Open Front Longline Shrug - Rs 599 (55% Off)",
26,2/8/2020,7500,2,"Facebook, Instagram, Email",4500,"Discounts, Clearance Sale",Mall,Male,,"Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %)"
33,4/17/2019,2000,2,Clothing Apps,5000,"Discounts, Clearance Sale",Online,Male,,"Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
27,2/22/2020,100000,50,"Facebook, Instagram",25000,"Discounts, Clearance Sale","Factory outlets, Roadside",Male,,"Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
29,1/21/2020,2000,5,"Facebook, Instagram, SMS",12000,"Discounts, Clearance Sale","Mall, Online, Roadside",Male,,"Men Assorted Checked Boxers  Rs 377(MRP :419,Discount:10%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %)"
27,5/27/1992,3000,20,"Facebook, Instagram",35000,"Discounts, Clearance Sale","Mall, Online",Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt, Men Black Solid Two Fold Genuine Leather Wallet, Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans, Men Blue Slim Fit Solid Formal Shirt"
26,9/10/2019,1400,2,"Facebook, Instagram, Flyers",2000,"Discounts, Clearance Sale","Mall, Factory outlets, Online, Roadside",Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Black Solid Two Fold Genuine Leather Wallet  Rs 1599(MRP :1999,Discount:20%)"
31,11/5/2019,7000,4,"Instagram, Email, SMS, TV advertisement",10000,"Discounts, Clearance Sale","Mall, Online",Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt, Men Black Solid Two Fold Genuine Leather Wallet"
21,2/23/2020,2000,6,"Facebook, Instagram",2000,"Discounts, Clearance Sale","Factory outlets, Online",Female,"Black Super Push-Up Lace Bra, Women Black Non-wired Lace Push-up Bra, DOROTHY PERKINS Women Skirt",
32,1/4/2020,3000,4,Shops,8000,"Discounts, Clearance Sale","Mall, Factory outlets",Female,"Women Pink Solid Off-The-Shoulder Top   Rs 899(MRP :999,Discount:10 %), Women Black Solid Pencil Skirt  Rs 2600(MRP :4000,Discount:35 %), DOROTHY PERKINS Women Skirt Rs 1554(MRP :2590,Discount:40%)",
26,2/11/2020,2000,20,"Facebook, Instagram, Email",4000,"Discounts, Clearance Sale",Online,Female,"Women White Crepe Blouse  Rs 1799(MRP :1999,Discount:10 %), Women Pink Solid Off-The-Shoulder Top   Rs 899(MRP :999,Discount:10 %), Women Black Non-wired Lace Push-up Bra Rs 1349(MRP :1499,Discount:10%)",
26,2/24/2020,2500,10,"Instagram, Email, Newspapers",25000,"New Arrivals, Clearance Sale","Factory outlets, Online",Male,,"Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
28,2/24/2020,1500,25,"Facebook, Instagram, Flyers, TV advertisement",40000,"New Arrivals, Discounts, Clearance Sale","Mall, Factory outlets, Online",Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Black Solid Two Fold Genuine Leather Wallet  Rs 1599(MRP :1999,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %)"
26,1/25/2020,1600,4,"Facebook, Email, SMS",30000,"New Arrivals, Discounts, Clearance Sale","Mall, Factory outlets, Online",Male,,"Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
45,5/1/2020,10000,6,"Newspapers, Flyers",25000,"New Arrivals, Discounts, Clearance Sale","Mall, Factory outlets",Male,,"Men Assorted Checked Boxers  Rs 377(MRP :419,Discount:10%), Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
29,2/15/2020,3200,4,"Facebook, Ecomm Applications",20000,"New Arrivals, Discounts, Clearance Sale",Online,Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%)"
36,2/22/2020,2500,10,"Facebook, TV advertisement, online sites",15000,"New Arrivals, Discounts, Clearance Sale","Mall, Factory outlets, Online, Roadside",Male,,"Men Assorted Checked Boxers  Rs 377(MRP :419,Discount:10%), Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Black Solid Two Fold Genuine Leather Wallet  Rs 1599(MRP :1999,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
27,10/6/1992,2500,20,"Facebook, Instagram, SMS",40000,"New Arrivals, Discounts, Clearance Sale","Mall, Online",Male,,
28,2/22/2020,50000,20,"Facebook, Instagram, Newspapers, TV advertisement",200000,"New Arrivals, Discounts, Clearance Sale","Mall, Factory outlets",Male,,"Men Assorted Checked Boxers  Rs 377(MRP :419,Discount:10%), Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
70,1/6/1950,3000,1.4,Tinder,50,"New Arrivals, Discounts, Clearance Sale","Mall, Roadside",Male,,
27,6/10/1992,2500,25,"Facebook, Instagram, SMS",50000,"New Arrivals, Discounts, Clearance Sale","Mall, Online",Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt, Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans, Men Blue Slim Fit Solid Formal Shirt, Men Navy Blue & Maroon Slim Fit Striped Formal Trousers"
27,12/27/1991,3000,30,"Facebook, Instagram, SMS",60000,"New Arrivals, Discounts, Clearance Sale","Mall, Online",Female,"Women Blue Regular Fit Mid-Rise Highly Distressed Jeans, Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans, Women White Crepe Blouse, Women Silver-Toned 2-Pack Necklaces, Women White & Navy Blue Regular Fit Striped Formal Trousers, Black Super Push-Up Lace Bra",
32,2/25/2020,3000,8,"Facebook, Email, SMS, Shopping app notifications",10000,"New Arrivals, Discounts, Clearance Sale",Online,Female,"Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Women White Crepe Blouse  Rs 1799(MRP :1999,Discount:10 %), Black Solid Handheld Bag  Rs 5990, Women Silver-Toned 2-Pack Necklaces  Rs 419(MRP :599,Discount:30 %), Black Super Push-Up Lace Bra  Rs 1349(MRP :1499,Discount:10%)",
22,1/2/2020,6000,4,"Email, SMS, Newspapers, Flyers",18000,"New Arrivals, Discounts, Clearance Sale",Mall,Female,"Women Blue Regular Fit Mid-Rise Highly DistressedJeans Rs 5995, Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Women Navy Blue Regular Fit Solid Formal Shirt Rs 1592(MRP :1990,Discount:20 %), Women White Crepe Blouse  Rs 1799(MRP :1999,Discount:10 %), Women White Solid Top with Belt  Rs 2872(MRP :3590,Discount:20 %), Women Pink Solid Off-The-Shoulder Top   Rs 899(MRP :999,Discount:10 %), Black Solid Handheld Bag  Rs 5990, Women Silver-Toned 2-Pack Necklaces  Rs 419(MRP :599,Discount:30 %), Women Black Solid Pencil Skirt  Rs 2600(MRP :4000,Discount:35 %), Women White & Navy Blue Regular Fit Striped Formal Trousers   Rs 2513(MRP :3590,Discount:30%), Black Super Push-Up Lace Bra  Rs 1349(MRP :1499,Discount:10%), Women Black Non-wired Lace Push-up Bra Rs 1349(MRP :1499,Discount:10%), DOROTHY PERKINS Women Skirt Rs 1554(MRP :2590,Discount:40%), MANGO Women Trousers Rs 2793 (MRP :3990,Discount:10%)",
43,2/2/2020,12000,6,"Newspapers, Flyers",25000,"New Arrivals, Discounts, Clearance Sale",Mall,Female,"Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Women Navy Blue Regular Fit Solid Formal Shirt Rs 1592(MRP :1990,Discount:20 %), Women White Crepe Blouse  Rs 1799(MRP :1999,Discount:10 %), Women White Solid Top with Belt  Rs 2872(MRP :3590,Discount:20 %), Black Solid Handheld Bag  Rs 5990, Women Silver-Toned 2-Pack Necklaces  Rs 419(MRP :599,Discount:30 %), Women White & Navy Blue Regular Fit Striped Formal Trousers   Rs 2513(MRP :3590,Discount:30%)",
40,2/3/2020,2000,10,"Facebook, Instagram, Email",20000,"Initial discount, Clearance Sale(Deep discount)","Mall, Online",Female,"Myntra DressBerry - Women Blue Solid Pinafore Dress (Rs 989, 40% off), H&M V-neck Blouse (Rs 1599,No Discount), Myntra - Anubhutee Teal Kurta with Palazzos - Rs 999 (50% off)",
24,2/9/2020,124,24,"Facebook, Email, Newspapers",121,"Initial discount, Clearance Sale(Deep discount)","Mall, Online",Female,"Myntra DressBerry - Women Blue Solid Pinafore Dress (Rs 989, 40% off), H&M V-neck Blouse (Rs 1599,No Discount), Myntra - Panit - Olive Regular Fit Cropped Trousers - 499 (60% off)",
